close,volume,sma_200,atr_14,volume_sma_20,price_to_sma_50,trend_label,sma_20,macd,rsi_14,bb_width,volume_ratio,momentum_10,momentum_20,volatility_20
152.81,1467983.0,157.71238095238095,5.467857142857142,1230876.8,-0.0310843126124711,Downtrend,157.5925,-2.3480758397256807,31.93641618497108,21.594778608679746,1.1926319514674417,-5.930000000000007,-7.300000000000011,0.017942074724270635
152.62,1417942.0,157.48090909090908,5.266428571428571,1236139.65,-0.0308666562757966,Downtrend,157.10549999999998,-2.3071132038671465,37.75196446873932,21.541157570420467,1.1470726628662062,-6.509999999999991,-9.740000000000009,0.017535200333727102
148.28,1476629.0,157.0808695652174,5.292142857142857,1237512.25,-0.0560276346163427,Sideways,156.4305,-2.59493890849231,36.182056319580866,22.439654655378035,1.193223743845768,-9.289999999999992,-13.5,0.018440253339241895
147.07,1000828.0,156.66375,5.407142857142857,1210812.0,-0.0612378421938706,Sideways,155.4305,-2.8873956410790527,37.99862448418153,21.567451012066613,0.8265758846129705,-7.0400000000000205,-20.0,0.016275043352895792
148.24,906474.0,156.3268,5.363571428571427,1213722.65,-0.0517300936243816,Sideways,154.5585,-2.9902902818113546,29.460093896713616,20.184722831623787,0.7468543163464899,-4.189999999999998,-17.439999999999998,0.016569216156777776
149.37,1101534.0,156.05923076923077,5.138571428571429,1212188.85,-0.0428634098493175,Sideways,153.8105,-2.946685908803204,31.44486692015211,18.446236986100132,0.9087148425758906,-1.4000000000000057,-14.960000000000008,0.01680588656023092
147.51,982308.0,155.7425925925926,5.222142857142856,1214956.9,-0.0528602513644308,Sideways,152.9205,-3.027318540676589,31.090225563909783,15.779504228086807,0.8085126311888101,-3.3799999999999955,-17.80000000000001,0.016699280116993977
150.71,1580696.0,155.56285714285715,5.217857142857142,1231773.65,-0.0311954744981358,Downtrend,152.46650000000002,-2.8007222432477192,43.545937737281704,14.48782734065503,1.283268236822569,-2.829999999999984,-9.079999999999984,0.01640519422266155
148.35,881823.0,155.31413793103448,5.267142857142856,1211229.55,-0.0448390470037366,Sideways,152.048,-2.779534577247915,42.4500370096225,14.352064073083511,0.7280395363537819,-6.0,-8.370000000000005,0.01623637717347762
149.5,1363528.0,155.12033333333332,5.182142857142856,1216180.8,-0.0362320864876944,Sideways,151.82049999999998,-2.6395210545728958,47.60467748019614,14.394516353550443,1.1211556702753407,-0.9199999999999875,-4.550000000000011,0.01602228765704381
148.23,1498091.0,154.89806451612904,5.1885714285714295,1231533.75,-0.0430480815687321,Sideways,151.29500000000002,-2.6010543794904777,45.191612436731766,13.156281669545535,1.2164433171238709,-4.5800000000000125,-10.51000000000002,0.014216141880802266
145.11,1065396.0,154.5921875,5.107857142857144,1238895.6,-0.0613367832704998,Uptrend,150.594,-2.7901639146311368,35.01599715606122,12.055334874957566,0.8599562384433361,-7.509999999999991,-14.019999999999982,0.014677293217637449
147.63,1442868.0,154.38121212121212,4.942142857142857,1260064.35,-0.0437307884065025,Downtrend,150.097,-2.7055042750446887,38.73994638069708,10.372482624206839,1.1450748527247834,-0.6500000000000057,-9.939999999999998,0.015399985282525253
147.58,919002.0,154.18117647058824,4.895714285714285,1226558.8,-0.0428144123796297,Downtrend,149.7705,-2.612332144029182,44.530046224961545,9.877578863796828,0.7492522983814555,0.5100000000000193,-6.530000000000001,0.01475476734442494
148.81,1164114.0,154.0277142857143,5.106428571428572,1229201.25,-0.0338751653227527,Downtrend,149.5895,-2.4114442106805143,41.935483870967744,9.583085757290178,0.9470491508205023,0.5699999999999932,-3.6200000000000045,0.014774954883029134
150.05,924221.0,153.91722222222222,5.023571428571428,1199124.4,-0.0251253379341708,Downtrend,149.55349999999999,-2.127655155086188,45.02901353965186,9.529886728216184,0.7707465547361059,0.6800000000000068,-0.7199999999999989,0.014729528132750653
150.11,1360499.0,153.81432432432433,4.802857142857142,1224009.1,-0.0240830907043064,Sideways,149.5145,-1.8762801952320842,54.2420027816412,9.463071494248709,1.1115105271684662,2.6000000000000227,-0.7799999999999727,0.014728475811485252
142.41,1632984.0,153.5142105263158,5.227142857142858,1247233.3,-0.0723334373296489,Sideways,148.958,-2.2721969053722546,41.69636493228797,10.63918160683221,1.3092851193116797,-8.300000000000011,-11.129999999999995,0.018043722568513193
